,year,month,lat,lon,depth,btm_sub,sfc_temp,sfc_salt,btm_temp,btm_salt,limfer_100m3
89,1999,6,42.3383,-65.5733,102,3,12.07,31.125999999999998,11.6,34.951,0.0
91,1999,6,42.9933,-66.1217,96,3,9.39,32.146,6.5,32.879,0.0
92,1999,6,42.7367,-66.3733,97,3,10.9,31.95,6.83,33.148,0.0
93,1999,6,43.0283,-66.945,166,3,11.62,32.124,7.97,34.133,0.0
94,1999,6,43.2933,-66.5417,62,3,7.39,31.854,6.49,32.416,0.0
95,1999,6,43.4283,-66.2467,76,3,7.17,31.993000000000002,6.83,32.056,0.0
96,1999,6,44.1633,-67.0517,132,2,10.79,32.236999999999995,6.6,33.289,0.0
98,1999,6,44.2183,-67.9883,75,2,7.94,31.901999999999997,6.64,32.143,1.0
99,1999,6,43.8983,-67.6633,208,3,10.97,32.076,7.42,34.055,0.0
100,1999,6,43.7883,-68.04,170,2,10.42,32.033,6.92,33.813,0.0
101,1999,6,43.945,-68.705,78,1,10.23,31.791,6.56,32.071,0.0
102,1999,6,43.5467,-68.41,172,3,12.0,32.092,7.2,34.023,0.0
103,1999,6,43.5933,-68.695,167,3,10.81,31.941,6.34,33.39,0.0
104,1999,6,42.535,-68.7733,205,3,13.56,32.336,7.13,34.095,0.0
105,1999,6,43.105,-69.39,193,3,14.92,32.048,4.73,32.926,0.0
106,1999,6,43.3917,-69.595,172,3,14.27,31.840999999999998,5.28,33.148,0.0
108,1999,6,42.7733,-70.2867,60,2,14.91,31.101999999999997,4.51,32.193000000000005,0.0
109,1999,6,42.0817,-69.8217,178,3,14.02,31.179000000000002,5.32,33.156,0.0
110,1999,6,41.4617,-69.5117,38,1,12.03,31.938000000000002,7.2,32.17,4.0
111,1999,6,41.115,-69.3117,58,3,8.62,31.968000000000004,7.95,32.281,4.0
112,1999,6,41.1383,-68.6917,63,3,9.64,32.499,9.37,32.510999999999996,28.0
113,1999,6,41.3833,-68.695,102,2,14.09,31.77,5.27,32.771,0.0
