ID,GMT_YEAR,GMT_MONTH,AVGDEPTH,DECDEG_BEGLAT,DECDEG_BEGLON,SURFTEMP,SURFSALIN,BOTTEMP,BOTSALIN,BOTTSUB,LOGGED_SPECIES_NAME,EXPCATCHNUM
196803010200010075,1968,3,106.0,39.283333,-72.75,5.0,,8.7,,3,BUTTERFISH,5.0
196803010200040084,1968,3,80.0,39.983333,-72.116667,4.0,,8.0,,3,BUTTERFISH,17.0
196803010300020074,1968,3,117.0,39.366667,-72.616667,7.0,,10.0,,3,BUTTERFISH,11.0
196803010300040082,1968,3,148.0,39.566666999999995,-72.18333299999999,4.5,,11.0,,2,BUTTERFISH,29.0
196803010400020078,1968,3,191.0,39.3,-72.366667,5.3,,10.9,,3,BUTTERFISH,2.0
196803010400030081,1968,3,215.0,39.55,-72.35,6.6,,,,3,BUTTERFISH,1.0
196803010400040083,1968,3,201.0,39.733333,-71.93333299999999,4.7,,9.8,,2,BUTTERFISH,5.0
196803010700010089,1968,3,165.0,40.116667,-71.083333,3.7,,11.3,,3,BUTTERFISH,1.0
196803010700020090,1968,3,140.0,40.15,-70.93333299999999,3.5,,10.8,,3,BUTTERFISH,54.0
196803010700030093,1968,3,131.0,40.1,-70.56666700000001,4.8,,11.2,,3,BUTTERFISH,97.0
196803010700040094,1968,3,115.0,40.283333,-70.783333,3.5,,10.0,,3,BUTTERFISH,11.0
196803011100010100,1968,3,152.0,40.083333,-70.166667,4.4,,11.2,,3,BUTTERFISH,107.0
196803011100020102,1968,3,145.0,40.083333,-70.0,4.1,,11.1,,3,BUTTERFISH,4050.0
196803011100030103,1968,3,135.0,39.983333,-69.666667,5.1,,10.4,,2,BUTTERFISH,32.0
196803011100040105,1968,3,149.0,40.116667,-69.1,4.5,,10.5,,3,BUTTERFISH,104.0
196803011200010101,1968,3,191.0,39.983333,-70.116667,4.0,,11.4,,1,BUTTERFISH,36.0
196803011200020104,1968,3,248.0,39.966667,-69.283333,5.9,,,,3,BUTTERFISH,76.0
196803011300050115,1968,3,112.0,40.65,-67.233333,4.0,,9.9,,3,BUTTERFISH,4.0
196803011300070117,1968,3,103.0,40.816666999999995,-66.9,3.4,,6.1,,3,BUTTERFISH,3.0
196803011400030114,1968,3,153.0,40.516667,-67.383333,4.1,,10.7,,3,BUTTERFISH,5.0
196803011400040116,1968,3,133.0,40.716667,-66.9,6.4,,11.3,,3,BUTTERFISH,3.0
196803011500040113,1968,3,228.0,40.5,-67.43333299999999,4.1,,11.2,,3,BUTTERFISH,2.0
196803016200010035,1968,3,55.0,35.633333,-74.916667,6.4,,9.9,,3,BUTTERFISH,13.0
196803016200020040,1968,3,69.0,36.316666999999995,-74.866667,8.8,,8.7,,3,BUTTERFISH,3744.0
196803016300010037,1968,3,115.0,35.766667,-74.85,7.0,,10.0,,3,BUTTERFISH,45.0
196803016500040043,1968,3,47.0,36.9,-74.883333,6.8,,8.0,,3,BUTTERFISH,11.0
196803016600010044,1968,3,59.0,37.0,-74.81666700000001,6.7,,7.2,,3,BUTTERFISH,150.0
196803016600020045,1968,3,58.0,37.033333,-74.81666700000001,6.8,,7.3,,3,BUTTERFISH,85.0
196803016600040050,1968,3,64.0,37.583333,-74.633333,6.4,,7.3,,3,BUTTERFISH,7.0
