ID,GMT_YEAR,GMT_MONTH,AVGDEPTH,DECDEG_BEGLAT,DECDEG_BEGLON,SURFTEMP,SURFSALIN,BOTTEMP,BOTSALIN,LOGGED_SPECIES_NAME,EXPCATCHNUM
196803010100010014,1968,3,40.0,39.783333,-73.333333,3.3,,4.2,,ATLANTIC COD,1.0
196803010100020013,1968,3,37.0,39.866667,-73.466667,3.3,,4.2,,ATLANTIC COD,2.0
196803010100040010,1968,3,52.0,40.233333,-72.733333,2.9,,4.1,,ATLANTIC COD,1.0
196803010200050009,1968,3,60.0,40.25,-72.533333,3.8,,4.3,,ATLANTIC COD,1.0
196803010500020007,1968,3,28.0,40.75,-72.466667,0.9,,1.9,,ATLANTIC COD,1.0
196803010500030001,1968,3,47.0,41.033333,-71.283333,2.3,,2.9,,ATLANTIC COD,2.0
196803010500040002,1968,3,49.0,41.05,-70.983333,2.4,,2.3,,ATLANTIC COD,1.0
196803010600030085,1968,3,66.0,40.25,-71.95,3.0,,5.2,,ATLANTIC COD,1.0
196803010600050005,1968,3,65.0,40.55,-71.85,3.0,,6.3,,ATLANTIC COD,2.0
196803010900010003,1968,3,50.0,40.916667,-70.75,2.0,,2.4,,ATLANTIC COD,2.0
196803010900030098,1968,3,35.0,40.85,-70.2,1.8,,2.1,,ATLANTIC COD,15.0
196803010900040211,1968,4,50.0,40.7,-69.466667,4.4,,4.5,,ATLANTIC COD,3.0
196803011000030132,1968,3,68.0,40.416667,-69.533333,4.1,,3.2,,ATLANTIC COD,19.0
196803011000050212,1968,4,66.0,40.716667,-69.116667,4.0,,4.1,,ATLANTIC COD,2.0
196803011000060130,1968,3,75.0,40.45,-68.916667,3.0,,2.8,,ATLANTIC COD,3.0
196803011300010107,1968,3,96.0,40.333333,-68.766667,4.0,,,,ATLANTIC COD,1.0
196803011300030223,1968,4,60.0,40.9,-67.8,4.4,,4.4,,ATLANTIC COD,5.0
196803011300060127,1968,3,74.0,40.983333,-67.166667,4.0,,3.8,,ATLANTIC COD,1.0
196803011600010229,1968,4,63.0,41.25,-67.083333,4.4,,4.2,,ATLANTIC COD,3.0
196803011600040120,1968,3,62.0,41.916667,-66.7,3.1,,2.8,,ATLANTIC COD,1.0
196803011600050122,1968,3,84.0,41.733333,-66.383333,3.0,,2.9,,ATLANTIC COD,1.0
196803011600060121,1968,3,86.0,41.95,-66.366667,3.1,,2.9,,ATLANTIC COD,4.0
196803011600070198,1968,4,82.0,41.85,-66.25,3.7,,3.8,,ATLANTIC COD,4.0
196803011600080123,1968,3,101.0,41.816666999999995,-65.93333299999999,3.6,,3.8,,ATLANTIC COD,6.0
196803011600090228,1968,4,64.0,41.416667,-67.1,4.9,,4.8,,ATLANTIC COD,4.0
196803011700010125,1968,3,128.0,41.45,-66.116667,3.5,,5.0,,ATLANTIC COD,29.0
196803011700030194,1968,4,133.0,41.983333,-65.916667,3.4,,5.9,,ATLANTIC COD,8.0
196803011800030197,1968,4,302.0,41.8,-65.716667,2.6,,,,ATLANTIC COD,1.0
196803011900030225,1968,4,51.0,41.1,-67.93333299999999,4.3,,4.4,,ATLANTIC COD,6.0
196803011900050224,1968,4,53.0,41.05,-67.833333,4.8,,4.8,,ATLANTIC COD,6.0
196803011900060226,1968,4,31.0,41.316666999999995,-67.766667,5.3,,5.2,,ATLANTIC COD,27.0
196803011900070238,1968,4,41.0,41.633333,-67.633333,5.2,,5.3,,ATLANTIC COD,4.0
196803011900080227,1968,4,49.0,41.533333,-67.383333,5.1,,5.1,,ATLANTIC COD,6.0
196803012000010219,1968,4,60.0,41.266667,-68.43333299999999,4.7,,4.8,,ATLANTIC COD,5.0
196803012000020217,1968,4,49.0,41.5,-68.35,4.9,,4.9,,ATLANTIC COD,3.0
196803012000030242,1968,4,46.0,41.7,-68.283333,5.5,,5.1,,ATLANTIC COD,4.0
196803012000040241,1968,4,51.0,41.733333,-68.166667,5.0,,5.2,,ATLANTIC COD,4.0
196803012000050239,1968,4,30.0,41.733333,-67.916667,5.0,,5.0,,ATLANTIC COD,5.0
196803012100010240,1968,4,84.0,41.9,-68.06666700000001,4.5,,4.2,,ATLANTIC COD,3.0
196803012100020236,1968,4,73.0,42.016667,-67.7,4.7,,4.2,,ATLANTIC COD,3.0
196803012100030231,1968,4,64.0,42.133333,-67.116667,4.2,,4.2,,ATLANTIC COD,3.0
196803012100040230,1968,4,79.0,42.15,-66.966667,4.2,,4.2,,ATLANTIC COD,4.0
196803012200010243,1968,4,165.0,41.833333,-68.3,5.0,,5.2,,ATLANTIC COD,2.0
196803012200020235,1968,4,179.0,42.033333,-67.833333,4.5,,5.2,,ATLANTIC COD,1.0
196803012300010207,1968,4,83.0,41.483333,-69.466667,4.3,,2.9,,ATLANTIC COD,4.0
196803012300020213,1968,4,87.0,41.066666999999995,-69.06666700000001,3.6,,3.7,,ATLANTIC COD,1.0
196803012300030214,1968,4,69.0,41.1,-68.783333,4.5,,4.5,,ATLANTIC COD,6.0
196803012300040215,1968,4,106.0,41.483333,-68.633333,4.3,,4.0,,ATLANTIC COD,4.0
196803012300050216,1968,4,97.0,41.483333,-68.56666700000001,4.0,,3.7,,ATLANTIC COD,2.0
196803012300060218,1968,4,64.0,41.35,-68.4,4.7,,4.8,,ATLANTIC COD,9.0
196803012400010252,1968,4,137.0,41.916667,-69.716667,4.4,,4.5,,ATLANTIC COD,1.0
196803012400020248,1968,4,179.0,41.75,-69.333333,4.7,,3.5,,ATLANTIC COD,11.0
196803012400040246,1968,4,165.0,41.833333,-68.916667,4.9,,4.6,,ATLANTIC COD,4.0
196803012500020208,1968,4,55.0,41.333333,-69.35,4.9,,3.5,,ATLANTIC COD,8.0
196803012600010133,1968,3,73.0,42.3,-70.15,2.5,,2.0,,ATLANTIC COD,29.0
196803012600020137,1968,3,84.0,42.516667,-70.233333,2.0,,1.6,,ATLANTIC COD,15.0
196803012600040136,1968,3,72.0,42.466667,-70.6,2.3,,2.1,,ATLANTIC COD,8.0
196803012600050134,1968,3,45.0,42.183333000000005,-70.3,2.3,,2.2,,ATLANTIC COD,7.0
196803012700010138,1968,3,180.0,42.5,-69.93333299999999,2.8,,3.8,,ATLANTIC COD,3.0
