ID,GMT_YEAR,GMT_MONTH,AVGDEPTH,DECDEG_BEGLAT,DECDEG_BEGLON,SURFTEMP,SURFSALIN,BOTTEMP,BOTSALIN,BOTTSUB,LOGGED_SPECIES_NAME,EXPCATCHNUM
196803010100010014,1968,3,40.0,39.783333,-73.333333,3.3,,4.2,,3,YELLOWTAIL FLOUNDER,133.0
196803010100020013,1968,3,37.0,39.866667,-73.466667,3.3,,4.2,,3,YELLOWTAIL FLOUNDER,247.0
196803010100030011,1968,3,44.0,40.1,-73.15,3.3,,3.9,,3,YELLOWTAIL FLOUNDER,476.0
196803010100040010,1968,3,52.0,40.233333,-72.733333,2.9,,4.1,,3,YELLOWTAIL FLOUNDER,267.0
196803010100050012,1968,3,38.0,40.25,-73.266667,2.1,,2.2,,3,YELLOWTAIL FLOUNDER,522.0
196803010100060008,1968,3,49.0,40.416667,-72.733333,2.4,,3.0,,3,YELLOWTAIL FLOUNDER,36.0
196803010200050009,1968,3,60.0,40.25,-72.533333,3.8,,4.3,,3,YELLOWTAIL FLOUNDER,39.0
196803010500010006,1968,3,37.0,40.683333000000005,-72.4,1.1,,2.0,,3,YELLOWTAIL FLOUNDER,150.0
196803010500020007,1968,3,28.0,40.75,-72.466667,0.9,,1.9,,3,YELLOWTAIL FLOUNDER,33.0
196803010500030001,1968,3,47.0,41.033333,-71.283333,2.3,,2.9,,3,YELLOWTAIL FLOUNDER,131.0
196803010500040002,1968,3,49.0,41.05,-70.983333,2.4,,2.3,,3,YELLOWTAIL FLOUNDER,62.0
196803010600030085,1968,3,66.0,40.25,-71.95,3.0,,5.2,,3,YELLOWTAIL FLOUNDER,83.0
196803010600040095,1968,3,84.0,40.4,-70.75,3.1,,2.0,,3,YELLOWTAIL FLOUNDER,2.0
196803010600050005,1968,3,65.0,40.55,-71.85,3.0,,6.3,,3,YELLOWTAIL FLOUNDER,50.0
196803010600060004,1968,3,60.0,40.733333,-71.35,2.8,,,,2,YELLOWTAIL FLOUNDER,198.0
196803010900010003,1968,3,50.0,40.916667,-70.75,2.0,,2.4,,3,YELLOWTAIL FLOUNDER,277.0
196803010900020097,1968,3,50.0,40.7,-70.35,2.0,,2.1,,3,YELLOWTAIL FLOUNDER,69.0
196803010900030098,1968,3,35.0,40.85,-70.2,1.8,,2.1,,3,YELLOWTAIL FLOUNDER,34.0
196803010900040211,1968,4,50.0,40.7,-69.466667,4.4,,4.5,,1,YELLOWTAIL FLOUNDER,19.0
196803011000010096,1968,3,59.0,40.666667,-70.466667,2.2,,2.6,,3,YELLOWTAIL FLOUNDER,5.0
196803011000020099,1968,3,62.0,40.533333,-69.95,3.4,,,,3,YELLOWTAIL FLOUNDER,31.0
196803011000030132,1968,3,68.0,40.416667,-69.533333,4.1,,3.2,,3,YELLOWTAIL FLOUNDER,200.0
196803011000040131,1968,3,72.0,40.5,-69.166667,3.2,,2.9,,3,YELLOWTAIL FLOUNDER,45.0
196803011000050212,1968,4,66.0,40.716667,-69.116667,4.0,,4.1,,1,YELLOWTAIL FLOUNDER,16.0
196803011000060130,1968,3,75.0,40.45,-68.916667,3.0,,2.8,,3,YELLOWTAIL FLOUNDER,27.0
196803011100010100,1968,3,152.0,40.083333,-70.166667,4.4,,11.2,,3,YELLOWTAIL FLOUNDER,2.0
196803011300010107,1968,3,96.0,40.333333,-68.766667,4.0,,,,1,YELLOWTAIL FLOUNDER,2.0
