ID,GMT_YEAR,GMT_MONTH,AVGDEPTH,DECDEG_BEGLAT,DECDEG_BEGLON,SURFTEMP,SURFSALIN,BOTTEMP,BOTSALIN,BOTTSUB,LOGGED_SPECIES_NAME,EXPCATCHNUM
196803010200050009,1968,3,60.0,40.25,-72.533333,3.8,,4.3,,3,HADDOCK,1.0
196803010700040094,1968,3,115.0,40.283333,-70.783333,3.5,,10.0,,3,HADDOCK,2.0
196803011000050212,1968,4,66.0,40.716667,-69.116667,4.0,,4.1,,1,HADDOCK,2.0
196803011000060130,1968,3,75.0,40.45,-68.916667,3.0,,2.8,,3,HADDOCK,2.0
196803011300010107,1968,3,96.0,40.333333,-68.766667,4.0,,,,1,HADDOCK,4.0
196803011300020129,1968,3,101.0,40.616667,-68.25,3.5,,3.1,,3,HADDOCK,1.0
196803011300030223,1968,4,60.0,40.9,-67.8,4.4,,4.4,,3,HADDOCK,82.0
196803011300040128,1968,3,75.0,40.7,-67.766667,3.7,,5.2,,3,HADDOCK,3.0
196803011300050115,1968,3,112.0,40.65,-67.233333,4.0,,9.9,,3,HADDOCK,2.0
196803011300070117,1968,3,103.0,40.816666999999995,-66.9,3.4,,6.1,,3,HADDOCK,5.0
196803011400040116,1968,3,133.0,40.716667,-66.9,6.4,,11.3,,3,HADDOCK,1.0
196803011600010229,1968,4,63.0,41.25,-67.083333,4.4,,4.2,,3,HADDOCK,3.0
196803011600020119,1968,3,73.0,41.3,-66.85,3.2,,2.6,,3,HADDOCK,3.0
196803011600030118,1968,3,73.0,41.05,-66.81666700000001,3.3,,3.1,,3,HADDOCK,35.0
196803011600050122,1968,3,84.0,41.733333,-66.383333,3.0,,2.9,,3,HADDOCK,6.0
196803011600060121,1968,3,86.0,41.95,-66.366667,3.1,,2.9,,3,HADDOCK,3.0
196803011600080123,1968,3,101.0,41.816666999999995,-65.93333299999999,3.6,,3.8,,3,HADDOCK,94.0
196803011600090228,1968,4,64.0,41.416667,-67.1,4.9,,4.8,,3,HADDOCK,1.0
196803011700010125,1968,3,128.0,41.45,-66.116667,3.5,,5.0,,3,HADDOCK,42.0
196803011700020124,1968,3,112.0,41.616667,-65.95,3.6,,6.0,,3,HADDOCK,10.0
196803011700030194,1968,4,133.0,41.983333,-65.916667,3.4,,5.9,,3,HADDOCK,23.0
196803011700040196,1968,4,137.0,41.833333,-65.81666700000001,2.6,,5.9,,3,HADDOCK,7.0
196803011800010126,1968,3,242.0,41.35,-66.06666700000001,3.3,,7.1,,3,HADDOCK,3.0
196803011800020195,1968,4,174.0,41.966667,-65.833333,3.7,,4.6,,3,HADDOCK,7.0
196803011900010221,1968,4,52.0,40.8,-68.55,4.6,,,,2,HADDOCK,13.0
196803011900030225,1968,4,51.0,41.1,-67.93333299999999,4.3,,4.4,,3,HADDOCK,5.0
196803011900040222,1968,4,55.0,40.866667,-67.93333299999999,4.5,,4.7,,3,HADDOCK,5.0
196803011900050224,1968,4,53.0,41.05,-67.833333,4.8,,4.8,,3,HADDOCK,21.0
196803011900060226,1968,4,31.0,41.316666999999995,-67.766667,5.3,,5.2,,3,HADDOCK,2.0
196803011900070238,1968,4,41.0,41.633333,-67.633333,5.2,,5.3,,3,HADDOCK,5.0
196803011900080227,1968,4,49.0,41.533333,-67.383333,5.1,,5.1,,3,HADDOCK,23.0
196803012000010219,1968,4,60.0,41.266667,-68.43333299999999,4.7,,4.8,,3,HADDOCK,1.0
196803012000040241,1968,4,51.0,41.733333,-68.166667,5.0,,5.2,,3,HADDOCK,4.0
196803012000060237,1968,4,55.0,41.766667,-67.56666700000001,5.0,,5.1,,3,HADDOCK,8.0
196803012100020236,1968,4,73.0,42.016667,-67.7,4.7,,4.2,,3,HADDOCK,3.0
196803012100040230,1968,4,79.0,42.15,-66.966667,4.2,,4.2,,3,HADDOCK,3.0
196803012200010243,1968,4,165.0,41.833333,-68.3,5.0,,5.2,,3,HADDOCK,4.0
196803012200020235,1968,4,179.0,42.033333,-67.833333,4.5,,5.2,,0,HADDOCK,1.0
196803012200030234,1968,4,195.0,42.116667,-67.766667,4.3,,6.4,,3,HADDOCK,14.0
196803012200040232,1968,4,188.0,42.166667,-67.383333,4.2,,6.2,,3,HADDOCK,7.0
196803012300010207,1968,4,83.0,41.483333,-69.466667,4.3,,2.9,,2,HADDOCK,6.0
196803012300020213,1968,4,87.0,41.066666999999995,-69.06666700000001,3.6,,3.7,,3,HADDOCK,25.0
196803012300030214,1968,4,69.0,41.1,-68.783333,4.5,,4.5,,3,HADDOCK,5.0
196803012300050216,1968,4,97.0,41.483333,-68.56666700000001,4.0,,3.7,,3,HADDOCK,3.0
196803012400010252,1968,4,137.0,41.916667,-69.716667,4.4,,4.5,,3,HADDOCK,13.0
196803012400020248,1968,4,179.0,41.75,-69.333333,4.7,,3.5,,3,HADDOCK,4.0
196803012400030247,1968,4,183.0,41.616667,-69.216667,4.7,,3.4,,3,HADDOCK,51.0
196803012400040246,1968,4,165.0,41.833333,-68.916667,4.9,,4.6,,3,HADDOCK,18.0
196803012400050154,1968,3,191.0,42.35,-68.7,3.5,,5.9,,3,HADDOCK,2.0
196803012500030209,1968,4,71.0,41.2,-69.3,3.7,,3.8,,3,HADDOCK,1.0
196803012500040210,1968,4,71.0,41.1,-69.216667,3.8,,3.8,,3,HADDOCK,1.0
196803012600010133,1968,3,73.0,42.3,-70.15,2.5,,2.0,,1,HADDOCK,1.0
196803012600020137,1968,3,84.0,42.516667,-70.233333,2.0,,1.6,,1,HADDOCK,4.0
196803012600040136,1968,3,72.0,42.466667,-70.6,2.3,,2.1,,3,HADDOCK,6.0
196803012700010138,1968,3,180.0,42.5,-69.93333299999999,2.8,,3.8,,3,HADDOCK,28.0
196803012700020140,1968,3,115.0,42.65,-70.1,2.7,,2.7,,3,HADDOCK,5.0
196803012700030142,1968,3,155.0,43.083333,-70.233333,2.6,,3.1,,0,HADDOCK,14.0
196803012700040143,1968,3,132.0,43.1,-70.3,2.7,,3.0,,2,HADDOCK,24.0
196803012800010249,1968,4,211.0,41.966667,-69.283333,4.7,,5.1,,3,HADDOCK,2.0
196803012800020250,1968,4,208.0,42.033333,-69.416667,5.0,,5.1,,1,HADDOCK,1.0
196803012800030251,1968,4,238.0,42.2,-69.733333,5.0,,5.7,,3,HADDOCK,9.0
196803012800040153,1968,3,210.0,42.55,-69.18333299999999,3.6,,6.3,,3,HADDOCK,1.0
196803012800050139,1968,3,201.0,42.6,-69.883333,2.8,,5.4,,3,HADDOCK,11.0
196803012800060157,1968,3,198.0,42.583333,-68.666667,3.2,,,,3,HADDOCK,6.0
196803012800070150,1968,3,226.0,42.9,-69.8,5.0,,8.0,,3,HADDOCK,1.0
196803012900010244,1968,4,201.0,42.016667,-68.266667,4.5,,5.5,,3,HADDOCK,9.0
196803012900020233,1968,4,229.0,42.266667,-67.75,4.7,,6.4,,2,HADDOCK,1.0
196803012900030155,1968,3,190.0,42.433333000000005,-68.233333,3.3,,5.4,,2,HADDOCK,1.0
196803012900050261,1968,5,202.0,42.566666999999995,-67.633333,6.8,,6.5,,3,HADDOCK,1.0
196803012900070199,1968,4,238.0,42.3,-66.116667,3.4,,6.2,,3,HADDOCK,9.0
196803012900080193,1968,4,137.0,42.25,-65.68333299999999,2.5,,8.4,,3,HADDOCK,11.0
196803013100010256,1968,5,163.0,42.7,-66.583333,6.8,,6.8,,1,HADDOCK,25.0
196803013100020181,1968,4,111.0,43.05,-66.483333,3.5,,6.8,,3,HADDOCK,35.0
196803013100030205,1968,4,114.0,42.783333,-65.733333,3.1,,3.4,,3,HADDOCK,41.0
196803013100040204,1968,4,137.0,42.866667,-65.56666700000001,3.0,,3.5,,3,HADDOCK,138.0
196803013100050203,1968,4,97.0,42.766667,-65.45,2.0,,3.2,,3,HADDOCK,35.0
196803013100060192,1968,4,124.0,42.383333,-65.233333,2.2,,5.4,,3,HADDOCK,32.0
196803013200010255,1968,5,62.0,42.683333000000005,-66.233333,5.7,,5.3,,3,HADDOCK,3.0
196803013200020206,1968,4,88.0,42.65,-65.883333,3.0,,3.5,,3,HADDOCK,47.0
196803013200030200,1968,4,89.0,42.6,-65.783333,2.7,,7.1,,3,HADDOCK,45.0
196803013200040201,1968,4,89.0,42.6,-65.716667,2.5,,6.2,,3,HADDOCK,15.0
196803013200050202,1968,4,93.0,42.566666999999995,-65.666667,2.3,,,,3,HADDOCK,15.0
196803013300010180,1968,4,91.0,43.633333,-66.383333,2.2,,2.3,,3,HADDOCK,22.0
196803013300020179,1968,4,91.0,43.633333,-66.416667,2.1,,2.8,,3,HADDOCK,23.0
196803013300030178,1968,4,88.0,43.75,-66.483333,2.4,,2.9,,3,HADDOCK,23.0
196803013300040170,1968,3,93.0,44.133333,-66.633333,2.6,,2.5,,3,HADDOCK,7.0
196803013400010177,1968,3,160.0,43.633333,-66.866667,3.0,,5.8,,3,HADDOCK,41.0
196803013400020171,1968,3,115.0,43.85,-66.733333,2.5,,3.1,,3,HADDOCK,5.0
196803013400030173,1968,3,169.0,43.883333,-67.216667,3.0,,,,2,HADDOCK,2.0
196803013400040172,1968,3,170.0,43.916667,-67.083333,3.0,,5.5,,2,HADDOCK,6.0
196803013400050166,1968,3,167.0,44.1,-67.18333299999999,3.1,,5.1,,2,HADDOCK,8.0
196803013500010167,1968,3,181.0,44.283333,-66.733333,3.0,,4.6,,3,HADDOCK,5.0
196803013500020169,1968,3,201.0,44.416667,-66.466667,2.1,,3.0,,3,HADDOCK,3.0
196803013600050159,1968,3,191.0,43.25,-68.56666700000001,3.0,,6.1,,3,HADDOCK,1.0
196803013600060176,1968,3,203.0,43.366667,-67.05,3.6,,6.9,,3,HADDOCK,1.0
196803013600070175,1968,3,225.0,43.5,-67.5,3.5,,6.3,,2,HADDOCK,1.0
196803013600080174,1968,3,243.0,43.583333,-67.65,3.3,,6.9,,0,HADDOCK,2.0
196803013700020151,1968,3,186.0,42.75,-69.366667,3.7,,3.7,,3,HADDOCK,42.0
196803013700040158,1968,3,186.0,43.15,-68.883333,3.1,,5.9,,3,HADDOCK,11.0
196803013700050160,1968,3,171.0,43.233333,-68.65,3.3,,5.9,,3,HADDOCK,4.0
196803013800010161,1968,3,159.0,43.333333,-68.65,2.7,,5.9,,3,HADDOCK,9.0
196803013800020148,1968,3,174.0,43.383333,-69.4,2.5,,5.8,,3,HADDOCK,2.0
196803014000010141,1968,3,88.0,42.866667,-70.616667,2.4,,2.1,,2,HADDOCK,3.0
196803014100010191,1968,4,114.0,42.616667,-64.883333,1.5,,8.2,,3,HADDOCK,93.0
196803014100020182,1968,4,165.0,43.266667,-64.93333299999999,1.4,,6.0,,3,HADDOCK,2.0
196803014100030183,1968,4,154.0,43.2,-64.783333,2.7,,9.6,,3,HADDOCK,11.0
196803014100040188,1968,4,114.0,43.066666999999995,-64.55,0.7,,8.2,,3,HADDOCK,49.0
196803014100060186,1968,4,133.0,42.933333000000005,-63.766667000000005,0.4,,7.5,,3,HADDOCK,6.0
196803014200020189,1968,4,91.0,42.983333,-64.583333,0.8,,8.2,,3,HADDOCK,61.0
196803014200030187,1968,4,89.0,43.016667,-64.133333,1.1,,1.8,,3,HADDOCK,1.0
196803016900050060,1968,3,55.0,38.45,-74.1,3.7,,4.8,,3,HADDOCK,1.0
196902010500020005,1969,3,47.0,40.816666999999995,-71.766667,2.6,,2.9,,3,HADDOCK,2.0
196902010600050091,1969,3,90.0,40.383333,-70.666667,4.4,,7.0,,3,HADDOCK,1.0
196902010600060082,1969,3,76.0,40.45,-71.65,4.8,,7.4,,2,HADDOCK,1.0
196902010900010107,1969,3,50.0,40.633333,-69.383333,4.1,,4.1,,3,HADDOCK,4.0
196902011000040111,1969,3,75.0,40.6,-69.05,4.0,,4.2,,3,HADDOCK,7.0
196902011000060110,1969,3,75.0,40.633333,-69.083333,4.1,,4.2,,3,HADDOCK,5.0
196902011000080108,1969,3,69.0,40.916667,-69.133333,4.1,,4.2,,3,HADDOCK,1.0
196902011300030109,1969,3,64.0,40.633333,-68.75,4.1,,4.2,,3,HADDOCK,4.0
196902011300040118,1969,3,73.0,40.766667,-68.06666700000001,5.0,,5.0,,3,HADDOCK,2.0
196902011300070119,1969,3,66.0,40.85,-67.916667,5.0,,5.1,,3,HADDOCK,19.0
196902011300080126,1969,3,73.0,40.883333,-67.583333,5.2,,5.2,,3,HADDOCK,3.0
196902011300090127,1969,3,68.0,41.05,-67.516667,5.1,,5.1,,3,HADDOCK,2.0
196902011600040135,1969,3,73.0,41.366667,-66.8,4.8,,5.0,,3,HADDOCK,1.0
196902011600050132,1969,3,58.0,41.483333,-67.1,4.3,,4.3,,3,HADDOCK,38.0
196902011600080147,1969,3,110.0,41.683333000000005,-66.06666700000001,5.8,,5.4,,3,HADDOCK,3.0
196902011600100149,1969,3,82.0,41.8,-66.43333299999999,5.3,,5.3,,3,HADDOCK,1.0
196902011600110150,1969,3,84.0,41.866667,-66.166667,5.2,,5.3,,3,HADDOCK,3.0
196902011600120164,1969,3,72.0,41.933333000000005,-66.68333299999999,4.7,,4.8,,3,HADDOCK,19.0
