ID,GMT_YEAR,GMT_MONTH,AVGDEPTH,DECDEG_BEGLAT,DECDEG_BEGLON,SURFTEMP,SURFSALIN,BOTTEMP,BOTSALIN,BOTTSUB,LOGGED_SPECIES_NAME,EXPCATCHNUM
196803010100010014,1968,3,40.0,39.783333,-73.333333,3.3,,4.2,,3,ATLANTIC HERRING,272.0
196803010100020013,1968,3,37.0,39.866667,-73.466667,3.3,,4.2,,3,ATLANTIC HERRING,90.0
196803010100030011,1968,3,44.0,40.1,-73.15,3.3,,3.9,,3,ATLANTIC HERRING,72.0
196803010100040010,1968,3,52.0,40.233333,-72.733333,2.9,,4.1,,3,ATLANTIC HERRING,84.0
196803010100050012,1968,3,38.0,40.25,-73.266667,2.1,,2.2,,3,ATLANTIC HERRING,32.0
196803010100060008,1968,3,49.0,40.416667,-72.733333,2.4,,3.0,,3,ATLANTIC HERRING,1589.0
196803010200020073,1968,3,81.0,39.35,-72.75,4.9,,8.3,,3,ATLANTIC HERRING,2.0
196803010200050009,1968,3,60.0,40.25,-72.533333,3.8,,4.3,,3,ATLANTIC HERRING,130.0
196803010500010006,1968,3,37.0,40.683333000000005,-72.4,1.1,,2.0,,3,ATLANTIC HERRING,80.0
196803010500020007,1968,3,28.0,40.75,-72.466667,0.9,,1.9,,3,ATLANTIC HERRING,
196803010600020086,1968,3,91.0,40.283333,-71.55,2.0,,6.5,,3,ATLANTIC HERRING,6.0
196803010600030085,1968,3,66.0,40.25,-71.95,3.0,,5.2,,3,ATLANTIC HERRING,441.0
196803010600040095,1968,3,84.0,40.4,-70.75,3.1,,2.0,,3,ATLANTIC HERRING,4.0
196803010600050005,1968,3,65.0,40.55,-71.85,3.0,,6.3,,3,ATLANTIC HERRING,357.0
196803010600060004,1968,3,60.0,40.733333,-71.35,2.8,,,,2,ATLANTIC HERRING,21.0
196803011000020099,1968,3,62.0,40.533333,-69.95,3.4,,,,3,ATLANTIC HERRING,89.0
196803011000030132,1968,3,68.0,40.416667,-69.533333,4.1,,3.2,,3,ATLANTIC HERRING,1.0
196803011000040131,1968,3,72.0,40.5,-69.166667,3.2,,2.9,,3,ATLANTIC HERRING,1.0
196803011000060130,1968,3,75.0,40.45,-68.916667,3.0,,2.8,,3,ATLANTIC HERRING,1.0
196803011300010107,1968,3,96.0,40.333333,-68.766667,4.0,,,,1,ATLANTIC HERRING,1.0
196803011400010108,1968,3,123.0,40.383333,-68.35,4.8,,8.1,,3,ATLANTIC HERRING,4.0
196803011900060226,1968,4,31.0,41.316666999999995,-67.766667,5.3,,5.2,,3,ATLANTIC HERRING,2.0
196803012000020217,1968,4,49.0,41.5,-68.35,4.9,,4.9,,3,ATLANTIC HERRING,3.0
196803012000030242,1968,4,46.0,41.7,-68.283333,5.5,,5.1,,3,ATLANTIC HERRING,1.0
196803012000040241,1968,4,51.0,41.733333,-68.166667,5.0,,5.2,,3,ATLANTIC HERRING,1.0
196803012200010243,1968,4,165.0,41.833333,-68.3,5.0,,5.2,,3,ATLANTIC HERRING,2.0
196803012300050216,1968,4,97.0,41.483333,-68.56666700000001,4.0,,3.7,,3,ATLANTIC HERRING,2.0
196803012400050154,1968,3,191.0,42.35,-68.7,3.5,,5.9,,3,ATLANTIC HERRING,5.0
196803012400060245,1968,4,178.0,41.95,-68.416667,4.8,,5.5,,3,ATLANTIC HERRING,2.0
196803012600040136,1968,3,72.0,42.466667,-70.6,2.3,,2.1,,3,ATLANTIC HERRING,1.0
196803012700010138,1968,3,180.0,42.5,-69.93333299999999,2.8,,3.8,,3,ATLANTIC HERRING,3.0
196803012700040143,1968,3,132.0,43.1,-70.3,2.7,,3.0,,2,ATLANTIC HERRING,1.0
196803012800010249,1968,4,211.0,41.966667,-69.283333,4.7,,5.1,,3,ATLANTIC HERRING,1.0
196803012800070150,1968,3,226.0,42.9,-69.8,5.0,,8.0,,3,ATLANTIC HERRING,47.0
196803012900040156,1968,3,220.0,42.583333,-68.43333299999999,3.3,,,,2,ATLANTIC HERRING,2.0
196803013400030173,1968,3,169.0,43.883333,-67.216667,3.0,,,,2,ATLANTIC HERRING,2.0
196803013400040172,1968,3,170.0,43.916667,-67.083333,3.0,,5.5,,2,ATLANTIC HERRING,1.0
196803013400050166,1968,3,167.0,44.1,-67.18333299999999,3.1,,5.1,,2,ATLANTIC HERRING,2.0
196803013500030168,1968,3,206.0,44.583333,-66.416667,2.5,,2.6,,3,ATLANTIC HERRING,1.0
196803013600050159,1968,3,191.0,43.25,-68.56666700000001,3.0,,6.1,,3,ATLANTIC HERRING,1.0
196803013600070175,1968,3,225.0,43.5,-67.5,3.5,,6.3,,2,ATLANTIC HERRING,1.0
196803013700010152,1968,3,188.0,42.65,-69.06666700000001,3.7,,6.0,,3,ATLANTIC HERRING,39.0
196803013700040158,1968,3,186.0,43.15,-68.883333,3.1,,5.9,,3,ATLANTIC HERRING,3.0
196803013700050160,1968,3,171.0,43.233333,-68.65,3.3,,5.9,,3,ATLANTIC HERRING,6.0
196803013800010161,1968,3,159.0,43.333333,-68.65,2.7,,5.9,,3,ATLANTIC HERRING,1.0
196803014000010141,1968,3,88.0,42.866667,-70.616667,2.4,,2.1,,2,ATLANTIC HERRING,4.0
196803014100020182,1968,4,165.0,43.266667,-64.93333299999999,1.4,,6.0,,3,ATLANTIC HERRING,5.0
196803014100030183,1968,4,154.0,43.2,-64.783333,2.7,,9.6,,3,ATLANTIC HERRING,6.0
196803016100010034,1968,3,32.0,36.15,-75.216667,6.4,,7.1,,3,ATLANTIC HERRING,1.0
196803016100020033,1968,3,30.0,36.4,-75.383333,5.5,,6.5,,3,ATLANTIC HERRING,43.0
196803016100030032,1968,3,29.0,36.466667,-75.366667,5.6,,6.9,,3,ATLANTIC HERRING,23.0
196803016500010031,1968,3,24.0,36.566666999999995,-75.266667,7.0,,7.0,,3,ATLANTIC HERRING,61.0
196803016500020030,1968,3,27.0,36.783333,-75.116667,6.0,,7.0,,3,ATLANTIC HERRING,20.0
196803016500030029,1968,3,37.0,36.95,-75.1,6.1,,6.2,,3,ATLANTIC HERRING,25.0
196803016500040043,1968,3,47.0,36.9,-74.883333,6.8,,8.0,,3,ATLANTIC HERRING,30.0
196803016500050028,1968,3,20.0,37.05,-75.56666700000001,4.9,,4.1,,3,ATLANTIC HERRING,19.0
196803016500060027,1968,3,30.0,37.166667,-75.133333,5.8,,6.2,,3,ATLANTIC HERRING,31.0
196803016500070046,1968,3,49.0,37.25,-74.916667,6.2,,6.7,,3,ATLANTIC HERRING,23.0
196803016500080026,1968,3,27.0,37.55,-75.1,4.3,,5.0,,3,ATLANTIC HERRING,5.0
196803016600020045,1968,3,58.0,37.033333,-74.81666700000001,6.8,,7.3,,3,ATLANTIC HERRING,1.0
196803016600030047,1968,3,58.0,37.216667,-74.783333,6.5,,7.2,,3,ATLANTIC HERRING,12.0
196803016900010051,1968,3,54.0,37.833333,-74.6,5.5,,5.9,,3,ATLANTIC HERRING,22.0
196803016900020025,1968,3,27.0,38.116667,-74.85,3.5,,3.7,,3,ATLANTIC HERRING,65.0
196803016900030024,1968,3,36.0,38.233333,-74.633333,3.7,,4.2,,3,ATLANTIC HERRING,118.0
196803016900040023,1968,3,30.0,38.366667,-74.516667,4.0,,4.2,,3,ATLANTIC HERRING,1.0
196803016900060022,1968,3,30.0,38.683333000000005,-74.616667,2.5,,3.1,,3,ATLANTIC HERRING,8.0
196803017000030055,1968,3,78.0,38.033333,-74.166667,5.6,,6.2,,3,ATLANTIC HERRING,4.0
196803017000040059,1968,3,73.0,38.183333000000005,-74.033333,6.0,,5.1,,3,ATLANTIC HERRING,3.0
196803017100020058,1968,3,119.0,38.166667,-73.81666700000001,6.0,,9.7,,3,ATLANTIC HERRING,1.0
196803017300010018,1968,3,49.0,38.983333,-73.65,3.0,,3.8,,3,ATLANTIC HERRING,22.0
196803017300030019,1968,3,25.0,39.283333,-74.033333,1.7,,1.5,,3,ATLANTIC HERRING,13.0
196803017300040017,1968,3,44.0,39.233333,-73.483333,3.7,,4.0,,3,ATLANTIC HERRING,8.0
196803017300050016,1968,3,40.0,39.4,-73.45,4.1,,4.1,,3,ATLANTIC HERRING,2.0
196803017300060015,1968,3,31.0,39.6,-73.633333,3.2,,3.6,,3,ATLANTIC HERRING,38.0
196803017400030071,1968,3,67.0,39.183333000000005,-73.116667,5.6,,5.8,,3,ATLANTIC HERRING,8.0
196803017400040072,1968,3,64.0,39.4,-73.06666700000001,4.3,,5.8,,3,ATLANTIC HERRING,17.0
196902010100010016,1969,3,29.0,40.033333,-73.733333,2.2,,2.2,,3,ATLANTIC HERRING,7.0
196902010100020014,1969,3,48.0,40.216667,-73.033333,2.7,,2.4,,3,ATLANTIC HERRING,5.0
196902010100040011,1969,3,52.0,40.283333,-72.55,2.3,,2.3,,3,ATLANTIC HERRING,12.0
