ID,GMT_YEAR,GMT_MONTH,AVGDEPTH,DECDEG_BEGLAT,DECDEG_BEGLON,SURFTEMP,SURFSALIN,BOTTEMP,BOTSALIN,BOTTSUB,LOGGED_SPECIES_NAME,EXPCATCHNUM
196803010200030080,1968,3,79.0,39.583333,-72.633333,5.3,,8.9,,3,ATLANTIC MACKEREL,2.0
196803010300010076,1968,3,142.0,39.2,-72.7,6.4,,9.1,,3,ATLANTIC MACKEREL,2.0
196803010600030085,1968,3,66.0,40.25,-71.95,3.0,,5.2,,3,ATLANTIC MACKEREL,8.0
196803010600050005,1968,3,65.0,40.55,-71.85,3.0,,6.3,,3,ATLANTIC MACKEREL,56.0
196803010700010089,1968,3,165.0,40.116667,-71.083333,3.7,,11.3,,3,ATLANTIC MACKEREL,3.0
196803010700020090,1968,3,140.0,40.15,-70.93333299999999,3.5,,10.8,,3,ATLANTIC MACKEREL,10.0
196803011100010100,1968,3,152.0,40.083333,-70.166667,4.4,,11.2,,3,ATLANTIC MACKEREL,11.0
196803011100020102,1968,3,145.0,40.083333,-70.0,4.1,,11.1,,3,ATLANTIC MACKEREL,7.0
196803011300010107,1968,3,96.0,40.333333,-68.766667,4.0,,,,1,ATLANTIC MACKEREL,778.0
196803011300050115,1968,3,112.0,40.65,-67.233333,4.0,,9.9,,3,ATLANTIC MACKEREL,2.0
196803011300070117,1968,3,103.0,40.816666999999995,-66.9,3.4,,6.1,,3,ATLANTIC MACKEREL,343.0
196803011400010108,1968,3,123.0,40.383333,-68.35,4.8,,8.1,,3,ATLANTIC MACKEREL,33.0
196803016100010034,1968,3,32.0,36.15,-75.216667,6.4,,7.1,,3,ATLANTIC MACKEREL,953.0
196803016100020033,1968,3,30.0,36.4,-75.383333,5.5,,6.5,,3,ATLANTIC MACKEREL,34.0
196803016100030032,1968,3,29.0,36.466667,-75.366667,5.6,,6.9,,3,ATLANTIC MACKEREL,80.0
196803016200010035,1968,3,55.0,35.633333,-74.916667,6.4,,9.9,,3,ATLANTIC MACKEREL,5.0
196803016200020040,1968,3,69.0,36.316666999999995,-74.866667,8.8,,8.7,,3,ATLANTIC MACKEREL,39.0
196803016500010031,1968,3,24.0,36.566666999999995,-75.266667,7.0,,7.0,,3,ATLANTIC MACKEREL,1498.0
196803016500020030,1968,3,27.0,36.783333,-75.116667,6.0,,7.0,,3,ATLANTIC MACKEREL,864.0
196803016500030029,1968,3,37.0,36.95,-75.1,6.1,,6.2,,3,ATLANTIC MACKEREL,422.0
196803016500040043,1968,3,47.0,36.9,-74.883333,6.8,,8.0,,3,ATLANTIC MACKEREL,318.0
196803016500060027,1968,3,30.0,37.166667,-75.133333,5.8,,6.2,,3,ATLANTIC MACKEREL,2.0
196803016500070046,1968,3,49.0,37.25,-74.916667,6.2,,6.7,,3,ATLANTIC MACKEREL,106.0
196803016500080026,1968,3,27.0,37.55,-75.1,4.3,,5.0,,3,ATLANTIC MACKEREL,3.0
196803016600030047,1968,3,58.0,37.216667,-74.783333,6.5,,7.2,,3,ATLANTIC MACKEREL,50.0
196803016600040050,1968,3,64.0,37.583333,-74.633333,6.4,,7.3,,3,ATLANTIC MACKEREL,85.0
196803016700010042,1968,3,115.0,36.7,-74.7,8.2,,10.3,,3,ATLANTIC MACKEREL,1.0
196803016700020049,1968,3,137.0,37.333333,-74.5,7.6,,10.1,,3,ATLANTIC MACKEREL,12.0
196803016900010051,1968,3,54.0,37.833333,-74.6,5.5,,5.9,,3,ATLANTIC MACKEREL,36.0
196803017000010052,1968,3,58.0,37.766667,-74.466667,5.3,,6.3,,3,ATLANTIC MACKEREL,105.0
196803017000020054,1968,3,98.0,37.966667,-74.15,6.8,,7.2,,3,ATLANTIC MACKEREL,118.0
196803017000030055,1968,3,78.0,38.033333,-74.166667,5.6,,6.2,,3,ATLANTIC MACKEREL,3538.0
196803017000040059,1968,3,73.0,38.183333000000005,-74.033333,6.0,,5.1,,3,ATLANTIC MACKEREL,33.0
196803017100010056,1968,3,137.0,37.933333000000005,-74.05,6.4,,9.3,,3,ATLANTIC MACKEREL,37.0
196803017100030061,1968,3,126.0,38.333333,-73.666667,6.5,,8.5,,3,ATLANTIC MACKEREL,43.0
196803017400010064,1968,3,80.0,38.716667,-73.333333,6.8,,7.9,,3,ATLANTIC MACKEREL,1.0
196803017400030071,1968,3,67.0,39.183333000000005,-73.116667,5.6,,5.8,,3,ATLANTIC MACKEREL,44.0
196803017400040072,1968,3,64.0,39.4,-73.06666700000001,4.3,,5.8,,3,ATLANTIC MACKEREL,9.0
196902010300010071,1969,3,128.0,39.366667,-72.43333299999999,7.8,,10.9,,3,ATLANTIC MACKEREL,2.0
